series,observed_epoch_s,package_C,mean_reported_MHz_P,mean_reported_MHz_E,cpu0_package_throttle_count
cool-02,1788839950.9262245,92.0,2866.6664166666665,2500.01775,26062370
cool-02,1788839951.4326267,92.0,2966.6765,2499.98025,26062370
cool-02,1788839951.9412634,92.0,2866.6739166666666,2500.016625,26062370
cool-02,1788839952.4499161,92.0,2933.3305,2499.99975,26062370
cool-02,1788839952.9585412,93.0,2784.121166666667,2399.9945,26062370
cool-02,1788839953.4642363,92.0,2966.6696666666667,2500.0055,26062370
cool-02,1788839953.9712384,93.0,2866.68375,2499.9785,26062370
cool-02,1788839954.4804103,92.0,2966.659,2500.02325,26062370
cool-02,1788839954.9892344,96.0,2866.656916666667,2500.011625,26062370
cool-02,1788839955.496145,92.0,2966.6765,2500.00225,26062370
cool-02,1788839956.0052285,100.0,3299.9998333333333,2699.982125,26062392
cool-02,1788839956.5080676,100.0,3400.005416666667,2800.015875,26062450
cool-02,1788839957.0133011,100.0,3200.005166666667,2700.0215,26062503
cool-02,1788839957.5200102,100.0,3299.9998333333333,2700.0205,26062562
cool-02,1788839958.031643,100.0,3100.01025,2599.980125,26062619
cool-02,1788839958.5382528,100.0,3299.9941666666664,2700.010125,26062686
cool-02,1788839959.0458372,98.0,3096.7515,2600.03175,26062734
cool-02,1788839959.549778,98.0,3374.1923333333334,2799.9565000000002,26062798
cool-02,1788839960.053393,100.0,3199.997083333333,2699.98,26062850
cool-02,1788839960.5581663,98.0,1280.06875,1583.829375,26062906
cool-02,1788839961.0612383,100.0,3226.9611666666665,2700.020875,26062946
cool-02,1788839961.564672,100.0,2122.1515833333333,2656.725875,26062998
cool-02,1788839962.0692306,99.0,3199.9945,2699.9815,26063042
cool-02,1788839962.5752356,99.0,3100.0024166666667,2600.001375,26063110
cool-02,1788839963.0823703,100.0,3100.0129166666666,2599.983625,26063169
cool-02,1788839963.5912292,100.0,3035.4499166666665,2521.148,26063237
cool-02,1788839964.0974247,100.0,3395.21875,2799.995875,26063287
cool-02,1788839964.6041079,100.0,3392.2875,2788.3825,26063367
cool-02,1788839965.1082633,100.0,3399.98825,2800.00275,26063399
cool-02,1788839965.61824,100.0,3100.012833333333,2599.984125,26063448
cool-02,1788839966.124474,100.0,3300.0024166666667,2700.01375,26063511
cool-02,1788839966.6322312,100.0,3199.9886666666666,2699.9865,26063574
cool-02,1788839967.1382482,100.0,3199.9861666666666,2700.00375,26063629
cool-02,1788839967.644234,100.0,3189.5629166666668,2684.1042500000003,26063700
cool-02,1788839968.1502504,98.0,3199.9998333333333,2699.9946250000003,26063751
cool-02,1788839968.6568108,93.0,3339.47775,2680.614,26063807
cool-02,1788839969.158611,97.0,1419.9239166666666,1351.9368749999999,26063848
cool-02,1788839969.6617053,98.0,3082.1545,2700.010875,26063893
cool-02,1788839970.1670897,100.0,2799.993,2400.02175,26063938
cool-02,1788839970.6742167,100.0,2793.3259166666667,2400.02375,26063987
cool-02,1788839971.1779778,100.0,899.9548333333333,1352.1757499999999,26064039
cool-02,1788839971.6822248,100.0,2994.3265,2570.226875,26064099
cool-02,1788839972.188441,100.0,1362.7666666666667,853.006875,26064168
cool-02,1788839972.690708,100.0,2699.0671666666667,2400.0074999999997,26064250
cool-02,1788839973.2002263,100.0,2698.1925833333335,2400.012625,26064319
cool-02,1788839973.7080996,100.0,777.0956666666667,1049.93725,26064377
cool-02,1788839974.2122228,98.0,3000.00475,2541.792625,26064458
cool-02,1788839974.7172446,100.0,3332.0351666666666,2774.21825,26064539
cool-02,1788839975.2212164,99.0,2699.9913333333334,2399.982625,26064612
cool-02,1788839975.7248225,98.0,2311.873416666667,2354.258125,26064665
cool-02,1788839976.2292259,98.0,3117.3848333333335,2623.896875,26064737
cool-02,1788839976.7322788,100.0,1252.9148333333333,1619.066875,26064800
cool-02,1788839977.2348597,100.0,2694.9890833333334,2400.00475,26064871
cool-02,1788839977.7400434,100.0,2697.0935833333333,2399.98275,26064937
cool-02,1788839978.2492409,95.0,2648.97325,2847.817625,26064994
cool-02,1788839978.7543108,100.0,2999.9825,2599.99525,26065057
cool-02,1788839979.2579017,100.0,1440.2904166666667,694.896375,26065115
cool-02,1788839979.7597682,100.0,2693.9265833333334,2399.994125,26065187
cool-02,1788839980.2662244,100.0,2796.0133333333333,2400.039375,26065270
cool-02,1788839980.7732284,100.0,3442.935,2811.49825,26065358
cool-02,1788839981.2772214,100.0,2700.0111666666667,2400.0126250000003,26065435
cool-02,1788839981.7847342,100.0,2800.0020833333333,2400.007625,26065515
