leg,query,try,wall_s,cpu_s,busy_cores,gc_count,gc_pause_s
cool-01,26,2,0.022,0.1,3.2,0,0.0
cool-01,26,3,0.02,0.1,2.5,0,0.0
cool-01,27,1,1.463,22.7,15.5,2,0.12
cool-01,27,2,0.227,3.8,16.6,0,0.0
cool-01,27,3,0.2,3.6,18.1,0,0.0
cool-01,28,1,15.198,181.1,11.9,31,0.68
cool-01,28,2,9.167,81.6,8.9,22,0.49
cool-01,28,3,9.108,78.7,8.6,20,0.45
cool-01,29,1,0.661,2.5,3.7,0,0.0
cool-01,29,2,0.033,0.3,8.4,0,0.0
cool-01,29,3,0.032,0.3,8.7,0,0.0
cool-01,30,1,2.524,28.8,11.4,4,0.34
cool-01,30,2,0.537,9.4,17.6,0,0.0
cool-01,30,3,0.546,9.3,17.0,0,0.0
cool-01,31,1,3.144,26.5,8.4,0,0.0
cool-01,31,2,2.982,26.0,8.7,1,0.14
cool-01,31,3,3.003,23.7,7.9,3,0.06
cool-01,32,1,10.429,154.3,14.8,6,0.53
cool-01,32,2,7.11,126.9,17.8,0,0.0
cool-01,32,3,7.097,129.2,18.2,3,0.01
cool-01,33,1,3.527,39.3,11.1,11,0.15
cool-01,33,2,2.623,33.6,12.8,7,0.16
cool-01,33,3,2.299,31.3,13.6,4,0.05
cool-01,34,1,2.249,31.0,13.8,5,0.07
cool-01,34,2,2.189,29.6,13.5,2,0.04
cool-01,34,3,2.265,30.9,13.7,4,0.08
cool-01,35,1,0.726,13.6,18.7,0,0.0
cool-01,35,2,0.405,7.6,18.7,0,0.0
cool-01,35,3,0.401,7.5,18.7,0,0.0
cool-01,36,1,0.244,1.7,7.0,0,0.0
cool-01,36,2,0.067,0.4,5.6,0,0.0
